Name,city,state,created_at,last_sign_in_at
Job Seeker 195,Memphis,Tennessee,2018-01-18 18:42:26 UTC,2018-02-17 00:16:38 UTC
Job Seeker 196,East Hartford,Connecticut,2018-01-18 19:47:09 UTC,2018-01-18 19:47:09 UTC
Job Seeker 197,Houston,Texas,2018-01-18 21:11:08 UTC,2018-01-18 21:11:08 UTC
Job Seeker 198,,,2018-01-18 21:31:28 UTC,2018-01-18 21:31:28 UTC
Job Seeker 199,Los Angeles,California,2018-01-18 22:09:02 UTC,2018-01-18 22:18:08 UTC
Job Seeker 200,Fayetteville,North Carolina,2018-01-18 22:24:16 UTC,2018-01-18 22:24:16 UTC
Job Seeker 201,Norfolk,Virginia,2018-01-19 00:10:33 UTC,2018-01-19 19:13:49 UTC
Job Seeker 202,,,2018-01-19 02:16:09 UTC,2018-01-19 02:16:09 UTC
Job Seeker 203,Denver,Colorado,2018-01-19 04:12:03 UTC,2018-01-19 04:12:03 UTC
Job Seeker 204,,,2018-01-19 14:35:19 UTC,2018-01-19 14:35:19 UTC
Job Seeker 205,,,2018-01-19 15:21:45 UTC,2018-01-19 15:21:45 UTC
Job Seeker 206,Winston-Salem,North Carolina,2018-01-19 16:17:42 UTC,2018-01-19 16:17:42 UTC
Job Seeker 207,Savannah,Georgia,2018-01-19 16:43:40 UTC,2018-01-19 16:43:40 UTC
Job Seeker 208,Omaha,Nebraska,2018-01-19 17:22:12 UTC,2018-01-19 17:22:12 UTC
Job Seeker 209,Temple,Texas,2018-01-19 18:04:15 UTC,2018-02-22 18:44:02 UTC
Job Seeker 210,San Diego,California,2018-01-19 19:01:51 UTC,2018-01-19 19:01:51 UTC
Job Seeker 211,Dallas,Texas,2018-01-19 22:50:06 UTC,2018-01-19 22:50:06 UTC
Job Seeker 212,Saint Petersburg,Florida,2018-01-20 00:01:00 UTC,2018-01-20 00:01:00 UTC
Job Seeker 213,Winnsboro,Louisiana,2018-01-20 00:50:16 UTC,2018-01-21 06:00:18 UTC
Job Seeker 214,Nashville,Tennessee,2018-01-20 01:40:32 UTC,2018-01-29 15:28:47 UTC
Job Seeker 215,Colorado Springs,Colorado,2018-01-20 03:28:59 UTC,2018-01-20 03:28:59 UTC
Job Seeker 216,Kansas City,Missouri,2018-01-20 15:53:57 UTC,2018-01-20 15:56:33 UTC
Job Seeker 217,Dallas,Texas,2018-01-20 18:20:40 UTC,2018-01-20 18:23:46 UTC
Job Seeker 218,Bakersfield,California,2018-01-20 20:12:01 UTC,2018-01-20 20:12:01 UTC
Job Seeker 219,Los Angeles,California,2018-01-20 20:53:17 UTC,2018-02-22 04:49:45 UTC
Job Seeker 220,Houston,Texas,2018-01-20 23:49:57 UTC,2018-01-21 03:24:55 UTC
Job Seeker 221,Artesia,New Mexico,2018-01-21 00:15:18 UTC,2018-01-22 01:00:37 UTC
Job Seeker 222,Kaiserslautern,Rhineland-Palatinate,2018-01-21 12:12:28 UTC,2018-01-21 12:12:28 UTC
Job Seeker 223,Phoenix,Arizona,2018-01-21 14:30:54 UTC,2018-01-22 07:57:36 UTC
Job Seeker 224,Tenmile Summer Home Area,Idaho,2018-01-21 15:16:42 UTC,2018-01-21 15:16:42 UTC
Job Seeker 225,Los Angeles,California,2018-01-21 19:48:22 UTC,2018-07-16 22:46:16 UTC
Job Seeker 226,Little Rock,Arkansas,2018-01-21 22:05:54 UTC,2018-01-21 22:05:54 UTC
Job Seeker 227,Chicago,Illinois,2018-01-22 04:34:02 UTC,2018-01-22 04:34:02 UTC
Job Seeker 228,Spring,Texas,2018-01-22 04:49:59 UTC,2018-01-22 04:49:59 UTC
Job Seeker 229,,,2018-01-22 06:12:35 UTC,2018-01-22 06:43:32 UTC
Job Seeker 230,Smithfield,North Carolina,2018-01-22 12:53:25 UTC,2018-01-22 12:53:25 UTC
Job Seeker 231,Seattle,Washington,2018-01-22 15:19:56 UTC,2018-01-22 15:19:57 UTC
Job Seeker 232,Charleston,South Carolina,2018-01-22 16:24:53 UTC,2018-01-22 16:24:53 UTC
Job Seeker 233,Colorado Springs,Colorado,2018-01-22 16:26:52 UTC,2018-07-15 13:58:17 UTC
Job Seeker 234,Park Forest,Illinois,2018-01-22 19:53:23 UTC,2018-01-22 19:53:23 UTC
Job Seeker 235,Saint Petersburg,Florida,2018-01-22 20:45:35 UTC,2018-01-22 20:45:35 UTC
Job Seeker 236,Hamilton,Michigan,2018-01-22 21:18:37 UTC,2018-01-22 21:18:37 UTC
Job Seeker 237,Columbus,Georgia,2018-01-22 23:16:34 UTC,2018-01-23 14:50:13 UTC
Job Seeker 238,Colorado Springs,Colorado,2018-01-22 23:45:43 UTC,2018-01-22 23:45:44 UTC
Job Seeker 239,,,2018-01-23 02:04:23 UTC,2018-01-23 02:04:23 UTC
Job Seeker 240,Cincinnati,Ohio,2018-01-23 02:44:35 UTC,2018-01-23 02:55:37 UTC
Job Seeker 241,,,2018-01-23 07:22:21 UTC,2018-01-23 07:22:21 UTC
Job Seeker 242,,,2018-01-23 14:30:59 UTC,2018-01-23 14:30:59 UTC
Job Seeker 243,Colorado Springs,Colorado,2018-01-23 18:21:50 UTC,2018-01-23 18:21:50 UTC
Job Seeker 244,,,2018-01-23 18:53:13 UTC,2018-01-23 18:53:13 UTC
Job Seeker 245,Atlanta,Georgia,2018-01-23 19:00:16 UTC,2018-01-24 16:06:40 UTC
Job Seeker 246,Seattle,Washington,2018-01-23 19:06:26 UTC,2018-01-23 19:06:26 UTC
Job Seeker 247,Hempstead,Texas,2018-01-23 19:32:39 UTC,2018-01-23 19:32:39 UTC
Job Seeker 248,Dallas,Texas,2018-01-23 20:44:31 UTC,2018-01-25 01:10:53 UTC
Job Seeker 249,Denver,Colorado,2018-01-23 20:52:42 UTC,2018-01-23 21:08:10 UTC
Job Seeker 250,Houston,Texas,2018-01-23 22:11:22 UTC,2018-01-23 22:11:22 UTC
Job Seeker 251,Seattle,Washington,2018-01-23 22:39:46 UTC,2018-01-23 22:39:46 UTC
Job Seeker 252,Los Angeles,California,2018-01-23 22:46:57 UTC,2018-02-06 01:14:18 UTC
Job Seeker 253,Dallas,Texas,2018-01-24 00:56:51 UTC,2018-01-24 01:24:42 UTC
Job Seeker 254,San Diego,California,2018-01-24 01:02:59 UTC,2018-01-24 01:03:00 UTC
Job Seeker 255,Jacksonville,North Carolina,2018-01-24 03:09:04 UTC,2018-01-24 22:14:29 UTC
Job Seeker 256,Irvine,California,2018-01-24 03:23:40 UTC,2018-01-24 03:23:40 UTC
Job Seeker 257,Highland,Utah,2018-01-24 04:51:27 UTC,2018-06-14 16:38:57 UTC
Job Seeker 258,Colorado Springs,Colorado,2018-01-24 05:27:06 UTC,2018-01-24 05:27:07 UTC
Job Seeker 259,Fayetteville,North Carolina,2018-01-24 06:50:27 UTC,2018-01-24 06:50:27 UTC
Job Seeker 260,Castello d'Aviano,Friuli-Venezia Giulia,2018-01-24 09:09:07 UTC,2018-01-24 09:09:07 UTC
Job Seeker 261,Fayetteville,North Carolina,2018-01-24 10:56:31 UTC,2018-01-24 10:56:31 UTC
Job Seeker 262,Houston,Texas,2018-01-24 12:14:08 UTC,2018-01-24 12:14:08 UTC
Job Seeker 263,Columbus,Ohio,2018-01-24 12:26:52 UTC,2018-01-24 12:59:23 UTC
Job Seeker 264,Boca Raton,Florida,2018-01-24 14:28:46 UTC,2018-01-24 14:28:46 UTC
Job Seeker 265,Houston,Texas,2018-01-24 14:51:32 UTC,2018-01-24 14:51:32 UTC
Job Seeker 266,Atlanta,Georgia,2018-01-24 15:02:26 UTC,2018-01-24 15:02:26 UTC
Job Seeker 267,,,2018-01-24 15:19:30 UTC,2018-02-05 17:40:24 UTC
Job Seeker 268,Colorado Springs,Colorado,2018-01-24 15:51:30 UTC,2018-01-24 15:51:30 UTC
