Id,IsDeleted,Name,ParentId,Type,RecordTypeId,Status,StartDate,EndDate,ExpectedRevenue,BudgetedCost,ActualCost,ExpectedResponse,NumberSent,IsActive,CampaignImageId,NumberOfLeads,NumberOfConvertedLeads,NumberOfContacts,NumberOfResponses,NumberOfOpportunities,NumberOfWonOpportunities,AmountAllOpportunities,AmountWonOpportunities,HierarchyNumberOfLeads,HierarchyNumberOfConvertedLeads,HierarchyNumberOfContacts,HierarchyNumberOfResponses,HierarchyNumberOfOpportunities,HierarchyNumberOfWonOpportunities,HierarchyAmountAllOpportunities,HierarchyAmountWonOpportunities,HierarchyNumberSent,HierarchyExpectedRevenue,HierarchyBudgetedCost,HierarchyActualCost,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,CampaignMemberRecordTypeId,GW_Volunteers__Number_of_Volunteers__c,GW_Volunteers__Volunteer_Completed_Hours__c,GW_Volunteers__Volunteer_Jobs__c,GW_Volunteers__Volunteer_Shifts__c,GW_Volunteers__Volunteers_Still_Needed__c,GW_Volunteers__Volunteer_Website_Time_Zone__c,Workshop_Staff_Members__c,Workshop_Type__c,Workshop_Sponsor__c,Program_Location__c,stayclassy__Classy_Campaign_Type__c,stayclassy__Commitment__c,stayclassy__Event_Image_URL__c,stayclassy__Fundraiser_Alias__c,stayclassy__address1__c,stayclassy__address2__c,stayclassy__city__c,stayclassy__country__c,stayclassy__sc_event_id__c,stayclassy__sf_contact_id__c,stayclassy__sf_designation_id__c,stayclassy__state__c,stayclassy__venue_name__c,stayclassy__zip__c,EventbriteSync__EventbriteId__c,Event_Capacity__c,stayclassy__Classy_API_Request__c,stayclassy__Classy_Designation_Id__c,stayclassy__Classy_External_ID__c,stayclassy__Classy_Fundraising_Team__c,stayclassy__Classy_Member_ID__c,stayclassy__Classy_Organization_ID__c,stayclassy__Classy_Parent_Campaign_ID__c,stayclassy__Classy_Parent_Campaign__c,stayclassy__Classy_Team_ID__c,stayclassy__Currency_Code__c,stayclassy__End_Date__c,stayclassy__Normalized_Goal_Amount__c,stayclassy__Start_Date__c,stayclassy__Team_Role__c,stayclassy__Team__c,stayclassy__Timezone_Identifier__c,stayclassy__Allocated_Fund__c,stayclassy__Deferred_Transaction_Amount__c,stayclassy__Raw_Currency_Code__c,stayclassy__Raw_Goal_Amount__c,Date_Email_Sent__c,Number_Quality_Survey_Ratings__c,Quality_Survey_Rating_Total__c,Workshop_Length_In_Days__c,Number_of_Registrants__c,EO_Email_Campaign__c,Recommendation_Rating_Total__c,Number_Recommendation_Ratings__c,Account_Name__c,stayclassy__Classy_Mode_Checked_By_Default__c,stayclassy__Classy_Mode_Enabled__c,stayclassy__Effective_Fixed_FOT_Percent__c,stayclassy__Fixed_FOT_Percent__c
7010z0000019qHfAAI,0,Webinar: Professional Communication 101,000000000000000AAA,Career/Professional Development,012380000001v2e,In Progress,8/23/2018 0:00,8/23/2018 0:00,,,,0,0,1,000000000000000AAA,0,0,33,33,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,0,005380000062eOzAAI,8/8/2018 13:01,00550000001WkUeAAK,8/29/2018 1:48,00538000004gsNsAAI,1/11/2019 21:07,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,15,73,,,0,74,15,,0,0,,
7010z0000019qMpAAI,0,Federal Virtual Workshop July 2018,000000000000000AAA,Seminar / Conference,01238000000EAST,Completed,7/17/2018 0:00,7/17/2018 0:00,,,,0,0,1,000000000000000AAA,0,0,54,54,0,0,0,0,0,0,54,54,0,0,0,0,0,,,,00550000002C1oJAAS,8/9/2018 14:52,00550000002C1oJAAS,8/9/2018 14:52,00550000002C1oJAAS,1/11/2019 18:26,,,0,0,0,0,0,,Emily Gomez,Federal Employment Workshop,HHUSA,Virtual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,0,,,,,
7010z0000019qSAAAY,0,CACI East Coast,000000000000000AAA,Email,012380000009wCN,In Progress,,,,,,0,0,1,000000000000000AAA,0,0,267,0,0,0,0,0,0,0,267,0,0,0,0,0,0,,,,00538000004sm3bAAA,8/10/2018 14:55,00538000004sm3bAAA,8/10/2018 14:55,00538000004sm3bAAA,1/17/2019 17:20,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,8/10/2018 0:00,0,0,,,0,0,0,0013800001BSlAVAA1,,,,
7010z0000019qSFAAY,0,CACI Co,000000000000000AAA,Email,012380000009wCN,In Progress,,,,,,0,0,1,000000000000000AAA,0,0,27,0,0,0,0,0,0,0,27,0,0,0,0,0,0,,,,00538000004sm3bAAA,8/10/2018 15:13,00538000004sm3bAAA,8/10/2018 15:13,00538000004sm3bAAA,8/28/2018 18:39,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,8/10/2018 0:00,0,0,,,0,0,0,0013800001BSlAVAA1,,,,
7010z0000019qVeAAI,0,"CACI CA, MO, TX",000000000000000AAA,Email,012380000009wCN,In Progress,,,,,,0,0,1,000000000000000AAA,0,0,168,0,0,0,0,0,0,0,168,0,0,0,0,0,0,,,,00538000004sm3bAAA,8/13/2018 12:26,00538000004sm3bAAA,8/13/2018 12:26,00538000004sm3bAAA,12/7/2018 17:38,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,8/13/2018 0:00,0,0,,,0,0,0,0013800001BSlAVAA1,,,,
7010z0000019qVjAAI,0,PayChex Sales Conference 5K,000000000000000AAA,donation,012380000009wCR,Active,8/13/2018 0:00,,5000,,,0,0,1,000000000000000AAA,0,0,26,26,34,34,20912.92,20912.92,0,0,26,26,34,34,20912.92,20912.92,0,5000,0,0,00538000004gsNsAAI,8/13/2018 12:45,00538000004gsNsAAI,10/6/2018 6:00,00538000004gsNsAAI,10/8/2018 14:18,,,0,0,0,0,0,,,,,,Campaign,,,,,,,US,196822,,a2438000001ajaKAAQ,,,,,,,31222,Campaign-196822,,,26892,,,,USD,,,8/13/2018 0:00,,,America/New_York,0,0,USD,5000,,0,0,,,0,0,0,,1,1,3.2,
7010z000001D1ZpAAK,0,Nathan Smith,70138000000zYt4AAE,Fundraiser,012380000009wCR,Active,8/14/2018 0:00,,650,,,0,0,1,000000000000000AAA,0,0,14,14,15,15,1051.04,1051.04,0,0,14,14,15,15,1051.04,1051.04,0,650,,,00538000004gsNsAAI,8/14/2018 13:43,00538000004gsNsAAI,10/6/2018 6:00,00538000004gsNsAAI,10/31/2018 14:57,,,0,0,0,0,0,,,,,,Fundraiser,,,Nathan Smith,,,,,1563637,,a2438000001ajaKAAQ,,,,,,,31222,Fundraiser-1563637,,1483827,26892,161244,70138000000zYt4AAE,,USD,,,8/14/2018 0:00,,,,0,0,USD,650,,0,0,,,0,0,0,,,,,
7010z000001D1ZuAAK,0,Boise August 2018,000000000000000AAA,Seminar / Conference,012380000009vyE,Completed,8/14/2018 0:00,8/14/2018 0:00,,,,0,0,1,000000000000000AAA,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,00550000002C1oJAAS,8/14/2018 14:20,00550000002C1oJAAS,8/21/2018 15:14,00550000002C1oJAAS,8/25/2018 15:48,,,0,0,0,0,0,,Shiela Warner,Veteran Employment Workshop,Mission 43,"Boise, ID",,,,,,,,,,,,,,,46887990241,30,,,,,,,,,,,,,,,,,0,0,,,,0,0,1,13,0,0,0,,0,0,,
7010z000001D1ZzAAK,0,NYFA August 2018,000000000000000AAA,Seminar / Conference,012380000009vyE,Completed,8/11/2018 0:00,8/11/2018 0:00,,,,0,0,1,000000000000000AAA,0,0,35,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,00550000002C1oJAAS,8/14/2018 14:28,00550000002C1oJAAS,1/9/2019 14:53,00538000004gsNsAAI,1/9/2019 14:53,,,0,0,0,0,0,,Amy Dodson;Jamie Rimphanli,Veteran Employment Workshop,HHUSA,"Los Angeles, CA",,,,,,,,,,,,,,,48067744919,60,,,,,,,,,,,,,,,,,0,0,,,,0,0,1,51,0,0,0,,0,0,,
7010z000001D1f9AAC,0,Nielsen,000000000000000AAA,Email,012380000009wCN,Completed,,,,,,0,0,1,000000000000000AAA,0,0,46,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,00538000004sm3bAAA,8/15/2018 15:54,00538000004sm3bAAA,8/15/2018 16:04,00538000004sm3bAAA,8/24/2018 16:48,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,8/15/2018 0:00,0,0,,,0,0,0,0013800001E6O7AAAV,0,0,,
7010z000001D1n8AAC,0,Virtual Workshop August 2018,000000000000000AAA,Seminar / Conference,01238000000EAST,Completed,8/15/2018 0:00,8/15/2018 0:00,,,,0,0,1,000000000000000AAA,0,0,54,0,0,0,0,0,0,0,54,0,0,0,0,0,0,,,,00550000002C1oJAAS,8/16/2018 13:09,00550000002C1oJAAS,8/16/2018 13:09,00550000002C1oJAAS,1/11/2019 17:52,,,0,0,0,0,0,,,Career Transition Workshop,HHUSA,Virtual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,0,,0,0,,
7010z000001D1uYAAS,0,Mass Email - Focal Point Data Risk (Oracle/Secret Clearance),000000000000000AAA,Email,012380000009wCN,Completed,,,,,,0,337,1,000000000000000AAA,0,0,347,0,0,0,0,0,0,0,347,0,0,0,0,0,337,0,0,0,00538000005Vf9LAAS,8/16/2018 23:14,00538000005Vf9LAAS,8/16/2018 23:25,00538000005Vf9LAAS,12/7/2018 18:00,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,8/16/2018 0:00,0,0,,,1,0,0,0010z00001ShoLtAAJ,0,0,,
7010z000001D1udAAC,0,"Mass Email - Brinks (Internal Trainer/ Austin, TX)",000000000000000AAA,Email,012380000009wCN,Completed,,,,,,0,908,1,000000000000000AAA,0,0,918,0,0,0,0,0,0,0,918,0,0,0,0,0,908,0,0,0,00538000005Vf9LAAS,8/16/2018 23:36,00538000005Vf9LAAS,8/16/2018 23:54,00538000005Vf9LAAS,1/11/2019 16:38,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,8/16/2018 0:00,0,0,,,1,0,0,0013800001NEqB9AAL,0,0,,
7010z000001D1uiAAC,0,"Mass Email - Brinks (Trainer/ Boston, MA)",000000000000000AAA,Email,012380000009wCN,Completed,,,,,,0,74,1,000000000000000AAA,0,0,58,0,0,0,0,0,0,0,58,0,0,0,0,0,74,0,0,0,00538000005Vf9LAAS,8/16/2018 23:44,00538000005Vf9LAAS,8/16/2018 23:52,00538000005Vf9LAAS,8/16/2018 23:52,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,8/16/2018 0:00,0,0,,,1,0,0,0013800001NEqB9AAL,0,0,,
7010z000001D1z4AAC,0,Incomplete MyTrak Accounts 8/17,000000000000000AAA,Email,012380000009wCN,Completed,,,,,,0,0,1,000000000000000AAA,0,0,163,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,00538000005Ey04AAC,8/17/2018 18:59,00538000005Ey04AAC,8/17/2018 18:59,00538000005Ey04AAC,10/12/2018 14:02,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,8/17/2018 0:00,0,0,,,0,0,0,,0,0,,
7010z000001D1z9AAC,0,Constellis Domestic Security - multiple openings,000000000000000AAA,Email,012380000009wCN,In Progress,,,,,,0,0,1,000000000000000AAA,0,0,90,0,0,0,0,0,0,0,90,0,0,0,0,0,0,,,,00538000005VclvAAC,8/17/2018 19:20,00538000005VclvAAC,8/17/2018 19:20,00538000005VclvAAC,9/24/2018 17:05,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,8/17/2018 0:00,0,0,,,1,0,0,00138000018wYQqAAM,0,0,,
7010z000001D20vAAC,0,PricewaterhouseCoopers Employee Giving,000000000000000AAA,,01238000000E8RT,In Progress,8/19/2018 0:00,,,,,0,0,0,000000000000000AAA,0,0,0,0,2,2,80,80,0,0,0,0,2,2,80,80,0,,,,00538000004yOepAAE,8/20/2018 14:44,00538000004yOepAAE,8/20/2018 14:44,00538000004yOepAAE,9/19/2018 19:13,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,0,0010z00001Si32RAAR,0,0,,
7010z000001D23zAAC,0,AT&T Employee Giving,000000000000000AAA,,01238000000E8RT,In Progress,8/21/2018 0:00,,,,,0,0,0,000000000000000AAA,0,0,0,0,2,2,39,39,0,0,0,0,2,2,39,39,0,,,,00538000004yOepAAE,8/21/2018 13:52,00538000004yOepAAE,8/21/2018 13:52,00538000004yOepAAE,12/18/2018 16:59,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,0,,0,0,,
7010z000001D24YAAS,0,Give With Liberty Employee Giving,000000000000000AAA,,01238000000E8RT,In Progress,8/21/2018 0:00,,,,,0,0,1,000000000000000AAA,0,0,0,0,1,1,351.75,351.75,0,0,0,0,1,1,351.75,351.75,0,,,,00538000004yOepAAE,8/21/2018 17:17,00538000004yOepAAE,8/21/2018 17:17,00538000004yOepAAE,8/21/2018 17:18,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,0,,0,0,,
7010z000001D24nAAC,0,Virtual Spouse Workshop September 2018,000000000000000AAA,Seminar / Conference,01238000000EAST,Planned,9/18/2018 0:00,9/18/2018 0:00,,,,0,0,1,000000000000000AAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,00550000002C1oJAAS,8/21/2018 17:39,00550000002C1oJAAS,8/21/2018 17:39,00550000002C1oJAAS,8/21/2018 17:39,,,0,0,0,0,0,,Kara Sparkman;Shiela Warner,Spouse Employment Workshop,HHUSA,Virtual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,0,,0,0,,
7010z000001D28kAAC,0,CACI Multiple Openings - throughout US,000000000000000AAA,Email,012380000009wCN,In Progress,,,,,,0,0,1,000000000000000AAA,0,0,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,,,,00538000005VclvAAC,8/22/2018 15:23,00538000005VclvAAC,8/22/2018 15:23,00538000005VclvAAC,11/7/2018 19:02,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,8/22/2018 0:00,0,0,,,1,0,0,0013800001BSlAVAA1,0,0,,
7010z000001D294AAC,0,The Nature Conservancy -Associate Director of Development I,000000000000000AAA,Email,012380000009wCN,In Progress,,,,,,0,0,1,000000000000000AAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,00538000005VclvAAC,8/22/2018 18:46,00538000005VclvAAC,8/22/2018 18:46,00538000005VclvAAC,8/22/2018 18:46,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,8/22/2018 0:00,0,0,,,1,0,0,0015000000qnGqQAAU,0,0,,
7010z000001D2KbAAK,0,Facebook Donations,000000000000000AAA,,01250000000Lunn,In Progress,8/23/2018 0:00,,,,,0,0,1,000000000000000AAA,0,0,0,0,3,3,2705,2705,0,0,0,0,3,3,2705,2705,0,,,,00538000004yOepAAE,8/23/2018 14:21,00538000004yOepAAE,8/23/2018 14:21,00538000004yOepAAE,10/22/2018 14:14,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,0,,0,0,,
7010z000001D2KqAAK,0,Federal Workshop November 2018,000000000000000AAA,Seminar / Conference,01238000000EAST,Planned,11/6/2018 0:00,11/6/2018 0:00,,,,0,0,1,000000000000000AAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,00550000002C1oJAAS,8/23/2018 15:03,00550000002C1oJAAS,8/23/2018 15:03,00550000002C1oJAAS,8/23/2018 15:03,,,0,0,0,0,0,,Kayla Corbisiero;Emily Gomez,Federal Employment Workshop,HHUSA,Virtual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,0,,0,0,,
7010z000001D2M8AAK,0,Mass Email - Talisman Rentals,000000000000000AAA,Email,012380000009wCN,Completed,,,,,,0,59,1,000000000000000AAA,0,0,61,0,0,0,0,0,0,0,61,0,0,0,0,0,59,0,0,0,00538000005Vf9LAAS,8/23/2018 18:21,00538000005Vf9LAAS,8/23/2018 18:29,00538000005Vf9LAAS,8/23/2018 18:29,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,1,0,0,0010z00001ShpFEAAZ,0,0,,
7010z000001D2R0AAK,0,MailChimp Campaign: August 2018 Volunteer Newsletter,000000000000000AAA,Email,01250000000Lunn,Completed,8/24/2018 0:00,,,,0,0,876,1,000000000000000AAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876,0,0,0,00538000004gsNsAAI,8/24/2018 18:44,00538000004gsNsAAI,8/26/2018 18:44,00538000004gsNsAAI,8/26/2018 18:44,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,0,,0,0,,
7010z000001D2S8AAK,0,SOSi IT AZ,000000000000000AAA,Email,012380000009wCN,Completed,,,,,,0,0,1,000000000000000AAA,0,0,23,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,00538000004sm3bAAA,8/27/2018 12:45,00538000004sm3bAAA,9/4/2018 17:46,00538000004sm3bAAA,9/4/2018 17:46,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,8/27/2018 0:00,0,0,,,0,0,0,0013800001E416pAAB,0,0,,
7010z000001D2ZnAAK,0,Mass Email - Wells Fargo ABL Relationship Mngr Boston,000000000000000AAA,Email,012380000009wCN,Completed,,,,,,0,0,1,000000000000000AAA,0,0,27,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,00538000005Vf9LAAS,8/28/2018 20:00,00538000005Vf9LAAS,8/28/2018 21:58,00538000005Vf9LAAS,8/28/2018 21:58,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,8/28/2018 0:00,0,0,,,1,0,0,0015000000sU7IQAA0,0,0,,
